genome_ID,assembly_accession,organism_name,superkingdom,phylum,class,order,family,genus,genome_size,proteins,completeness,contamination,nif_type,oxygen_discrete,oxygen_numeric,temperature,temp_discrete,pH,pH_discrete,habitat,habitat_richness,metabolic_richness,gene_number,gene_complexity,root_distance
G001005265,GCA_001005265.1,Dehalogenimonas sp. WBC-2,Bacteria,Chloroflexi,Dehalococcoidia,0,0,Dehalogenimonas,1.725728,1730,98.68,0,nif,anaerobe,2,33.8,Mesophile,6.7,Neutrophile,Freshwater,0.02,0.12371134,17,0.182795699,0.920416948
G001678055,GCA_001678055.1,Dehalococcoides mccartyi,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,1.357297,1432,99.01,0,nif,anaerobe,2,31,Mesophile,7.1,Neutrophile,Freshwater,0.02,0.103092784,17,0.182795699,0.938520206
G000017185,GCF_000017185.1,Methanococcus aeolicus Nankai-3,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,1.5695,1525,99.03,0,nif,anaerobe,2,45,Thermophile,7,Neutrophile,Saline,0,0.18556701,14,0.150537634,0.893458406
G000179575,GCF_000179575.2,Methanothermococcus okinawensis IH1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,1.677455,1665,99.05,0,nif,anaerobe,2,58.1,Thermophile,7,Neutrophile,Hydrothermal,0,0.175257732,14,0.150537634,0.83593774
G002007825,GCF_002007825.1,Dehalococcoides mccartyi,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,1.329198,1384,99.01,0,nif,anaerobe,2,31,Mesophile,7.1,Neutrophile,Freshwater,0.02,0.103092784,18,0.193548387,0.935514319
G002007905,GCF_002007905.1,Dehalococcoides mccartyi,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,1.271604,1316,99.01,0,nif,anaerobe,2,31,Mesophile,7.1,Neutrophile,Freshwater,0.02,0.103092784,18,0.193548387,0.935514319
G000830905,GCF_000830905.1,Dehalococcoides mccartyi CG4,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,1.382308,1421,99.01,0.99,nif,anaerobe,2,37.4,Mesophile,6.3,Neutrophile,Freshwater,0.02,0.103092784,19,0.204301075,0.92363988
G000092305,GCF_000092305.1,Methanocaldococcus infernus ME,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,1.328194,1474,99.05,0,nif,anaerobe,2,82.9,Thermophile,6.4,Neutrophile,Hydrothermal,0,0.18556701,14,0.150537634,0.821103953
G001459095,GCF_001459095.1,Dehalococcoides mccartyi,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,1.571515,1683,98.02,0,nif,anaerobe,2,31,Mesophile,7.1,Neutrophile,Freshwater,0.02,0.113402062,19,0.204301075,0.934038606
G000025525,GCF_000025525.1,Methanocaldococcus sp. FS406-22,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,1.773136,1875,99.52,0,nif,anaerobe,2,79,Thermophile,5.9,Neutrophile,Hydrothermal,0,0.180412371,15,0.161290323,0.754473071
